XuatXu,TinhTrang,DongXe,SoKmDaDi,MauNgoaiThat,MauNoiThat,SoCua,SoChoNgoi,HopSo,DanDong,Hang,Grade,NamSanXuat,LoaiDongCo,DungTich,Gia
0,0,1,0,1,1,2,2,0,4,1,1,2022,1,1,249
1,0,2,0,2,2,5,7,1,2,2,2,2022,1,3.4,4286
0,0,3,0,3,3,5,8,1,4,2,3,2023,1,2,885
1,0,2,0,1,2,5,5,1,3,2,4,2023,1,1.8,754
0,0,3,0,3,1,5,8,1,4,2,3,2022,1,2,850
0,0,4,0,1,1,5,2,0,4,1,5,2023,1,1,299
0,0,2,0,1,2,5,7,1,3,3,6,2023,1,1.5,984
1,0,2,0,4,2,5,7,1,4,2,7,2023,1,2.7,1229
0,0,6,0,4,2,4,5,1,4,4,8,2023,2,2.2,688
0,0,6,0,2,2,4,5,1,1,4,8,2023,2,2.2,830
0,0,4,0,1,4,4,7,0,4,4,9,2023,2,2.2,940
0,0,3,0,3,1,5,8,0,4,2,3,2022,1,2,750
1,0,2,0,1,4,5,5,1,1,2,10,2022,1,2.7,2588
0,0,5,0,1,5,4,5,1,3,2,11,2022,1,1.5,542
1,0,2,0,1,2,5,7,1,4,4,12,2023,2,2,199
1,0,7,0,5,4,5,5,1,3,2,13,2022,1,1.5,650
0,0,5,0,2,4,4,5,1,3,2,11,2022,1,1.5,592
0,0,2,0,1,2,5,7,1,3,5,14,2022,1,2,825
0,0,2,0,3,2,5,7,0,3,5,15,2022,1,1.5,555
0,0,2,0,1,2,5,7,1,4,2,7,2022,2,2.4,1259
0,0,3,0,1,3,5,8,0,4,2,3,2022,1,2,755
0,0,3,0,3,3,5,8,0,4,2,3,2022,1,2,755
1,0,2,0,2,1,5,7,1,1,2,10,2022,1,2.7,2588
1,0,1,0,1,1,2,2,0,1,6,16,2017,2,11.1,1750
1,0,2,0,1,5,5,7,1,2,1,17,2023,1,2,450
0,0,5,0,4,2,4,5,1,3,3,18,2023,1,1.5,599
0,0,5,0,1,2,4,5,0,3,2,11,2023,1,1.5,489
1,0,2,0,6,3,5,7,1,2,1,17,2023,1,2,450
0,0,3,0,5,3,5,8,1,4,2,3,2022,1,2,885
0,0,3,0,4,2,5,8,0,4,2,3,2023,1,2,715
0,0,1,0,1,2,2,2,0,4,1,1,2023,1,1,285
1,0,2,0,5,2,5,5,1,2,1,19,2023,1,2,2690
